Year,Rank,Song,Artist,track_id,danceability,energy,speechiness,loudness,temp,valence
2022,7,Big Energy,Latto,6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,0.114,-3.838,106.017,0.813
2022,8,Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,0.0478,-5.569,153.96,0.441
2022,9,Super Gremlin,Kodak Black,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,0.144,-6.634,72.993,0.106
2022,10,Cold Heart (Pnau Remix),Elton John ,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,0.0317,-6.312,116.032,0.942
2022,11,Wait for U,Future ,59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,0.34,-4.474,83.389,0.339
2022,12,About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,0.0656,-6.305,108.966,0.722
2022,13,Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,0.0347,-3.745,126.011,0.537
2022,14,Thats What I Want,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,0.22,-4.51,87.981,0.546
2022,15,Enemy,Imagine Dragons ,3CIyK1V4JEJkg02E4EJnDl,0.728,0.783,0.266,-4.424,77.011,0.555
2022,16,Industry Baby,Lil Nas X,27NovPIUIRrOZoCHxABJwK,0.736,0.704,0.0615,-7.409,149.995,0.894
2022,17,ABCDEFU,Gayle,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,0.0493,-5.692,121.932,0.415
2022,18,Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,0.0707,-6.509,130.041,0.194
2022,19,Wasted on You,Morgan Wallen,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,0.0318,-5.24,196,0.252
2022,20,Me Porto Bonito,Bad Bunny ,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,0.0817,-5.105,92.005,0.425
2022,21,Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,0.0854,-4.175,107.998,0.881
2022,22,Tití Me Preguntó,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,0.253,-5.198,106.672,0.187
2022,23,Running Up That Hill (A Deal with God),Kate Bush,1PtQJZVZIdWIYdARpZRDFO,0.629,0.545,0.0546,-13.123,108.376,0.194
2022,24,We Don't Talk About Bruno,Carolina Gaitán,52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,0.0834,-8.516,205.863,0.83
2022,25,Late Night Talking,Harry Styles,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,0.0468,-4.595,114.996,0.901
2022,26,I Like You (A Happier Song),Post Malone ,0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,0.0751,-6.009,100.964,0.472
2022,27,You Proof,Morgan Wallen,5W4kiM2cUYBJXKRudNyxjW,0.728,0.818,0.0329,-5.068,119.706,0.681
2022,28,Bad Habit,Steve Lacy,4k6Uh1HXdhtusDW5y8Gbvy,0.686,0.494,0.0355,-7.093,168.946,0.7
2022,29,Sunroof,Nicky Youre ,5YqEzk3C5c3UZ1D5fJUlXA,0.768,0.714,0.0401,-5.11,131.443,0.842
2022,30,One Right Now,Post Malone,00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,0.053,-4.806,97.014,0.688
2022,31,Good 4 U,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.154,-5.044,166.928,0.688
2022,32,Numb Little Bug,Em Beihold,1KQc37jezhunxnOPhvdwSG,0.742,0.527,0.0769,-6.892,84.974,0.638
2022,33,Jimmy Cooks,Drake,3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0.175,-4.711,165.921,0.366
2022,34,Til You Can't,Cody Johnson,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,0.0436,-4.865,160.087,0.46
2022,35,Fancy Like,Walker Hayes,58UKC45GPNTflCN6nwCUeF,0.647,0.765,0.06,-6.459,79.994,0.855
2022,36,The Kind of Love We Make,Luke Combs,48UKTR66uUOT9LaUvooTNx,0.608,0.745,0.0277,-4.13,102.025,0.464
2022,37,I Ain't Worried,OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0.0475,-5.927,139.994,0.825
2022,38,Break My Soul,Beyoncé,5pyoxDZ1PX0KxBxiRVxA4U,0.693,0.887,0.0795,-5.039,114.942,0.864
2022,39,Something in the Orange,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,0.04,-12.151,175.212,0.148
2022,40,Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g,0.679,0.825,0.0309,-5.487,118.049,0.644
2022,41,Smokin out the Window,Bruno Mars ,3xVZYkcuWalGudeKl861wb,0.627,0.618,0.0437,-8.529,82.03,0.848
2022,42,Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,0.702,0.825,0.0601,-3.787,102.977,0.915
2022,43,In a Minute,Lil Baby,31lopd32BkJBTSgYE16c5e,0.547,0.604,0.319,-5.99,78.502,0.149
2022,44,Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,0.804,0.674,0.0333,-5.453,99.968,0.292
2022,45,You Right,Doja Cat,0k4d5YPDr1r7FX77VdqWez,0.828,0.621,0.0565,-6.414,128.986,0.436
2022,46,She Had Me at Heads Carolina,Cole Swindell,200x8ONbPfFzByUr3fVz46,0.607,0.912,0.0611,-3.449,134.944,0.722
2022,47,Vegas,Doja Cat,0hquQWY3xvYqN4qtiquniF,0.801,0.601,0.255,-7.574,159.969,0.74
2022,48,Pushin P,Gunna ,3XOalgusokruzA5ZBA2Qcb,0.773,0.422,0.187,-4.572,77.502,0.488
2022,49,Buy Dirt,Jordan Davis,69AIpwGNLxr4qS1X5ynx60,0.586,0.559,0.05,-6.725,177.945,0.437
2022,50,I Hate U,SZA,2aJnyNu4PQxQ2lyj5boiMG,0.533,0.417,0.148,-8.665,106.534,0.376
